LATITUDE,LONGITUDE
40.8076000,-73.9371900
40.5762900,-73.9685440
,
40.7639960,-73.9960100
,
40.8473240,-73.9037500
40.6629450,-73.9537900
,
,
40.8676760,-73.8557100
,
40.7618300,-73.9850400
40.8746000,-73.9097000
40.7624860,-73.9629800
40.8446700,-73.9449000
40.6140860,-74.0661400
40.7030140,-73.8580250
40.7638930,-73.9150000
40.8492470,-73.8273900
40.7199700,-73.9929050
40.8118400,-73.9257660
40.7665700,-73.8884660
40.7161140,-73.8118600
40.7859700,-73.9688500
40.8142300,-73.9344400
40.7723300,-73.9587250
40.8278270,-73.8751750
40.8134960,-73.9531200
40.6419260,-74.0761500
40.7050400,-73.9590450
40.7515750,-73.9822850
40.7668950,-73.9213940
40.6635170,-73.9572140
40.7466500,-73.7692000
40.7026860,-73.9208400
40.6490600,-73.9608400
40.6508060,-73.9495800
40.6851700,-73.8805200
40.6582950,-73.9310900
40.8608630,-73.9288250
40.7648500,-73.8861200
40.6586040,-73.9517000
40.6753120,-73.8433100
40.8614700,-73.9250000
40.7217600,-73.7600100
40.6914670,-73.8207000
40.6764100,-74.0010400
40.6157800,-73.9999500
40.6663060,-73.7917100
40.7705730,-73.9821550
40.6547300,-73.9069200
40.7918970,-73.9652300
40.7589760,-73.9939400
40.7306600,-73.9830860
,
40.6184960,-74.0105740
40.7665600,-73.9904300
40.7712400,-73.8437100
40.7559200,-73.9863600
40.6371960,-74.0077900
40.7788050,-73.9479750
40.6448140,-73.9048300
40.7301800,-73.9423800
40.8027530,-73.9335800
40.8178440,-73.9418500
40.6486900,-73.9548000
40.8091660,-73.9381400
40.7527430,-73.9751100
40.8146860,-73.9308500
40.6257300,-73.9564000
,
40.8304900,-73.9039600
40.7555660,-73.9751500
40.7403830,-73.9287500
40.7707700,-73.9172700
40.7098960,-73.8394100
40.7170140,-73.7994000
40.8070530,-73.9063800
40.7558200,-73.9707640
40.7252700,-73.8265900
40.7198330,-73.8262400
40.7535000,-73.9049200
,
40.6124040,-73.9402500
40.7646800,-73.9643000
40.6785850,-73.9790100
40.8153040,-73.9437100
40.7655200,-73.9721100
40.7671850,-73.9899700
40.7312770,-73.8715740
,
40.7584040,-73.8447950
40.6670000,-73.7939450
40.6948130,-73.9832700
40.6959080,-73.9832200
40.7595800,-73.7689400
40.8450600,-73.9168550
40.6984330,-73.9033660
40.6611140,-73.8925700
40.8597450,-73.8958000
40.8986320,-73.8548000
40.7039200,-73.9243240
40.6554870,-73.9028700
40.6189730,-74.0052300
40.8092400,-73.9530100
40.7619700,-73.9253900
